DATA,TAM,GOL,AZUL,AVIANCA,PASSAREDO
Jan 17,3092981,3205707,2015658,920450,61924
Fev 17,2484769,2336952,1606767,777817,50155
Mar 17,2762765,2578381,1859935,832998,60923
Abr 17,2576067,2409485,1714829,766339,51336
Mai 17,2580108,2456058,1776309,831118,52065
Jun 17,2549246,2389089,1680861,832187,48110
Jul 17,3094564,3066522,1893290,986724,54008
Ago 17,2876714,2592777,1797419,945653,52104
Set 17,2808318,2639562,1769134,951072,47618
Out 17,2922969,2766088,1756137,1018096,51732
Nov 17,2784110,2727357,1713183,961682,46173
Dez 17,3015554,3095963,1882918,1040639,49730
Jan 18,3068179,3313916,2016562,1015026,36320
Fev 18,2918563,2857959,1812099,978843,36699
Mar 18,2978436,2748735,1923905,1048872,41756
Abr 18,2797942,2641578,1868417,1014683,39710
Mai 18,2916890,2675391,1951166,1063353,42965
Jun 18,3102967,3339788,2112947,1127075,42185
Jul 18,2531317,2506308,1773138,956024,36208
Ago 18,2597345,2526440,1786387,989194,41380
Set 18,2650410,2480053,1819057,1000577,42578
Out 18,2808405,2552741,1827040,1018962,40598
Nov 18,2622010,2417701,1632420,942035,35240
Dez 18,3120585,3318616,2022973,1105932,43332
Jan 19,3191538,3480575,2188256,991171,28738
Fev 19,2691040,2660240,1972062,860408,26861
Mar 19,2863308,2694298,2039396,901854,26618
Abr 19,2796334,2605089,2091536,501539,31503
Mai 19,2841082,2734717,2179025,0,33404
Jun 19,2681073,2793687,2130472,0,33594
Jul 19,3354959,3573991,2462333,0,42373
Ago 19,3146544,3119343,2343535,0,41571
Set 19,3077258,2997681,2367872,0,44315
Out 19,3383202,3087322,2496814,0,51426
Nov 19,3380517,3059421,2234631,0,55026
Dez 19,3637986,3484697,2435093,0,52617
Jan 20,3744788,3623619,2672931,0,47003
Fev 20,3235139,2854048,2238524,0,45377
Mar 20,2082308,1850232,1494643,0,32073
Abr 20,94331,142871,169295,0,0
Mai 20,129885,159506,263726,0,0
Jun 20,203449,310906,389057,0,0
Jul 20,367801,675083,586651,0,6389
Ago 20,636864,779634,786687,0,18412
Set 20,971121,1117206,959212,0,27308
Out 20,1201167,1517481,1364705,0,41459
Nov 20,1524089,1599609,1664988,0,46821
Dez 20,1701730,2070664,1880601,0,48107